epoch,time_s,loss,acc,val_loss,val_acc
1,11.32520341873169,0.6673594566954157,0.7804444444444445,0.6333546963831433,0.782
2,11.447884798049927,0.37482884528281984,0.8973333333333333,0.39021306524498983,0.888
3,11.306482315063477,0.32023152112911546,0.9117777777777778,0.3891544115661172,0.888
4,11.208253622055054,0.2721888659669994,0.9231111111111111,0.3143550636202142,0.906
5,11.456229448318481,0.26689750988617966,0.9153333333333333,0.3346620558230472,0.894
6,11.405063390731812,0.19470444550589514,0.9491111111111111,0.2677279876824113,0.91
7,11.429507970809937,0.1975054101372268,0.9437777777777778,0.27989622583457546,0.916
8,11.577512502670288,0.2190138397924391,0.9315555555555556,0.3175074996863092,0.904
9,11.425143718719482,0.17179159837244723,0.9488888888888889,0.2676130356352826,0.916
10,11.430460691452026,0.1680274842727939,0.9426666666666667,0.28520044855550514,0.912
